customer_id,cycle_start,cycle_end,billing_amount,last_payment_days_ago,plan_tier,tenure_months,monthly_usage_hours,active_days,login_count,avg_session_min,device_count,add_on_count,support_tickets,sla_breaches,promotions_redeemed,email_opens,email_clicks,last_campaign_days_ago,nps_score,region,is_autopay,is_discounted,has_family_bundle,churned_next_cycle
CUST_000001,2024-01-01,2024-01-31,108.7,3.0,Premium,8.4,20.7,15,18,22.7,3,1,1,1,0,3,1,29.7,5.2,South,True,True,False,1
CUST_000002,2024-01-01,2024-01-31,78.37,11.0,Premium,60.0,15.1,18,0,43.5,3,1,1,0,0,7,0,14.8,5.0,South,True,True,False,0
CUST_000003,2024-01-01,2024-01-31,37.81,5.6,Basic,4.0,46.6,19,2,32.5,2,0,1,0,1,4,1,7.1,6.9,East,True,False,True,1
CUST_000004,2024-01-01,2024-01-31,29.65,24.7,Basic,42.9,12.4,16,20,20.0,3,0,2,0,0,1,0,7.3,7.6,North,False,False,False,1
CUST_000005,2024-01-01,2024-01-31,43.08,35.8,Basic,21.9,24.6,20,0,8.3,3,1,1,0,1,3,1,11.3,5.4,East,True,True,True,0
CUST_000006,2024-01-01,2024-01-31,48.15,16.2,Standard,1.0,36.9,14,2,15.9,5,0,0,0,1,3,2,1.1,4.5,East,False,False,False,1
CUST_000007,2024-01-01,2024-01-31,23.44,28.4,Basic,19.6,51.3,17,5,38.3,5,0,0,0,0,2,0,10.4,6.8,West,True,False,False,1
CUST_000008,2024-01-01,2024-01-31,127.46,2.8,Premium,3.5,22.7,13,38,32.4,4,4,0,0,1,3,1,12.1,9.1,East,True,False,False,0
CUST_000009,2024-01-01,2024-01-31,84.74,0.6,Premium,28.6,28.3,18,15,16.4,4,2,0,0,1,1,0,0.8,5.5,North,False,False,False,0
CUST_000010,2024-01-01,2024-01-31,116.18,12.1,Premium,1.0,8.2,20,15,21.7,3,1,1,0,0,2,1,4.7,6.5,North,True,False,False,1
CUST_000011,2024-01-01,2024-01-31,67.78,11.8,Standard,17.7,21.3,14,17,25.6,3,1,0,0,0,4,0,21.0,7.6,North,False,False,True,0
CUST_000012,2024-01-01,2024-01-31,78.68,20.8,Premium,23.9,42.4,19,9,31.1,2,0,1,0,0,2,1,10.0,6.5,North,False,False,False,0
CUST_000013,2024-01-01,2024-01-31,27.49,32.8,Basic,10.7,43.1,22,13,31.7,3,0,0,0,1,1,0,16.8,7.5,North,True,False,False,0
CUST_000014,2024-01-01,2024-01-31,105.0,20.6,Premium,53.0,69.4,18,0,18.2,1,3,0,0,0,4,2,6.1,6.9,West,True,False,False,0
CUST_000015,2024-01-01,2024-01-31,60.94,6.5,Standard,17.8,33.7,14,44,46.9,6,2,0,0,1,4,0,35.0,5.4,North,True,False,True,0
CUST_000016,2024-01-01,2024-01-31,91.84,46.2,Premium,33.2,9.2,22,40,25.1,5,1,3,0,1,3,0,1.5,7.1,West,True,False,True,1
CUST_000017,2024-01-01,2024-01-31,31.11,39.2,Basic,1.0,46.1,14,8,40.0,1,0,0,0,0,4,1,22.7,7.1,North,True,True,True,1
CUST_000018,2024-01-01,2024-01-31,42.39,17.6,Standard,11.6,35.7,21,6,23.9,3,0,0,0,1,2,1,13.8,4.9,South,True,False,False,0
CUST_000019,2024-01-01,2024-01-31,36.98,0.3,Basic,1.0,61.9,18,2,40.2,3,1,0,0,0,2,1,10.4,2.1,East,True,False,False,1
CUST_000020,2024-01-01,2024-01-31,40.57,34.1,Basic,15.2,14.2,21,3,18.5,5,1,0,0,3,3,0,9.4,6.0,North,True,False,False,1
CUST_000021,2024-01-01,2024-01-31,44.46,8.0,Standard,6.1,25.9,22,8,19.0,2,0,1,0,1,6,0,4.4,8.5,West,True,True,True,0
CUST_000022,2024-01-01,2024-01-31,35.89,11.8,Basic,37.7,50.9,18,7,25.2,5,0,0,0,0,3,0,20.9,10.0,West,False,False,True,0
CUST_000023,2024-01-01,2024-01-31,80.77,11.7,Premium,7.5,16.8,19,31,20.7,2,1,1,0,0,3,0,25.6,5.9,West,True,False,True,0
CUST_000024,2024-01-01,2024-01-31,32.2,38.0,Basic,22.1,41.9,16,54,24.1,4,0,0,1,1,3,0,1.9,8.6,South,False,False,False,1
CUST_000025,2024-01-01,2024-01-31,65.59,60.0,Standard,12.4,5.7,17,0,14.8,2,0,1,0,0,1,0,5.1,8.0,West,True,False,False,1
CUST_000026,2024-01-01,2024-01-31,25.35,0.4,Basic,14.8,6.4,19,0,17.2,4,1,0,0,1,2,0,0.1,4.6,North,True,False,True,0
CUST_000027,2024-01-01,2024-01-31,19.22,4.7,Basic,1.6,4.6,16,8,42.6,3,0,0,0,1,3,2,1.5,6.9,West,True,False,False,1
CUST_000028,2024-01-01,2024-01-31,89.96,34.5,Premium,32.4,4.9,17,35,30.5,2,0,0,0,0,3,2,3.4,7.8,North,False,False,False,0
CUST_000029,2024-01-01,2024-01-31,49.56,6.1,Standard,7.9,19.6,20,0,31.1,2,3,0,0,0,1,0,20.6,4.0,East,False,False,False,0
CUST_000030,2024-01-01,2024-01-31,106.9,17.9,Premium,23.7,20.9,20,13,29.3,1,1,0,0,0,8,2,3.8,7.4,North,True,True,False,0
CUST_000031,2024-01-01,2024-01-31,95.41,9.8,Premium,17.7,3.2,15,0,25.8,2,0,3,0,0,6,0,2.5,9.1,South,True,False,True,0
CUST_000032,2024-01-01,2024-01-31,41.98,14.0,Standard,53.9,8.2,14,12,13.8,2,4,1,0,0,1,0,2.5,7.8,West,True,False,False,0
CUST_000033,2024-01-01,2024-01-31,58.71,7.0,Standard,4.6,35.3,15,6,30.4,4,0,0,0,1,2,0,10.7,9.2,West,True,False,False,0
CUST_000034,2024-01-01,2024-01-31,112.52,6.1,Premium,34.2,18.7,17,19,18.5,3,1,2,0,1,4,0,26.9,8.0,East,False,False,False,0
CUST_000035,2024-01-01,2024-01-31,95.37,2.1,Premium,1.9,30.8,17,1,6.9,4,2,1,0,0,0,0,11.4,8.9,South,False,False,True,1
CUST_000036,2024-01-01,2024-01-31,36.29,33.7,Basic,19.1,41.4,14,10,12.7,3,4,0,0,0,1,0,1.2,10.0,West,True,True,False,0
CUST_000037,2024-01-01,2024-01-31,49.74,1.1,Standard,2.4,35.8,22,17,33.4,3,1,0,0,0,5,0,0.3,5.7,North,True,False,False,0
CUST_000038,2024-01-01,2024-01-31,22.96,11.7,Basic,1.5,25.7,16,4,39.0,4,0,0,0,0,5,2,10.8,8.8,West,False,False,True,0
CUST_000039,2024-01-01,2024-01-31,58.23,9.3,Standard,12.4,16.1,13,21,31.1,4,2,0,0,0,4,3,1.4,5.0,West,False,False,True,0
CUST_000040,2024-01-01,2024-01-31,74.84,13.5,Premium,22.6,62.4,20,38,8.5,2,0,1,0,0,4,1,2.9,6.9,West,True,False,True,0
CUST_000041,2024-01-01,2024-01-31,42.02,1.8,Standard,17.3,16.6,16,21,37.1,3,1,1,0,0,1,1,6.1,6.8,North,True,False,True,0
CUST_000042,2024-01-01,2024-01-31,55.68,30.4,Standard,13.0,34.8,19,24,31.1,4,2,1,0,1,8,3,13.4,4.9,North,True,False,False,0
CUST_000043,2024-01-01,2024-01-31,51.48,5.9,Standard,37.9,34.1,16,31,37.9,1,2,0,0,0,3,0,0.3,6.5,North,True,False,False,0
